Region_Name,Region_Type,Year,GRP_per_capita,Income_per_capita,Unemployment_rate,Federal_subsidies,Migration_rate
Москва,donor,2000,1038.56,447.82,3.93,3.74,5.56
Москва,donor,2001,1115.34,486.69,3.94,3.67,-0.55
Москва,donor,2002,1127.48,516.66,3.98,3.65,6.14
Москва,donor,2003,1230.61,604.49,3.79,3.66,12.93
Москва,donor,2004,1384.52,566.67,3.93,3.64,13.97
Москва,donor,2005,1364.24,732.39,3.88,3.65,13.69
Москва,donor,2006,1429.14,831.57,3.9,3.72,11.34
Москва,donor,2007,1514.59,771.45,3.75,3.69,24.3
Москва,donor,2008,1540.3,699.71,3.78,3.67,24.51
Москва,donor,2009,1647.0,705.22,3.76,3.71,26.53
Москва,donor,2010,1729.88,717.57,3.96,3.66,21.22
Москва,donor,2011,1774.9,827.42,3.98,3.68,23.35
Москва,donor,2012,1870.05,986.47,3.83,3.68,36.36
Москва,donor,2013,1904.35,1051.5,3.85,3.74,34.71
Москва,donor,2014,2086.22,1012.88,3.83,3.69,35.66
Москва,donor,2015,2021.84,1175.73,3.75,3.67,31.18
Москва,donor,2016,2049.01,851.15,3.96,3.66,30.25
Москва,donor,2017,2184.88,1225.14,3.93,3.74,42.91
Москва,donor,2018,2195.66,926.59,3.95,3.67,30.28
Москва,donor,2019,2286.52,917.79,3.92,3.59,41.71
Москва,donor,2020,2318.31,1083.86,3.88,3.68,45.65
Москва,donor,2021,2491.08,1177.6,3.92,3.69,40.7
Москва,donor,2022,2411.39,982.35,3.82,3.69,57.19
Москва,donor,2023,2518.26,1080.28,3.92,3.7,48.17
Москва,donor,2024,2631.49,1453.43,3.81,3.72,52.99
Москва,donor,2025,2729.95,1437.88,3.79,3.65,60.3
Санкт-Петербург,donor,2000,1387.47,743.01,2.61,1.01,23.21
Санкт-Петербург,donor,2001,1486.85,646.59,2.58,1.0,34.12
Санкт-Петербург,donor,2002,1526.58,892.96,2.62,1.01,33.46
Санкт-Петербург,donor,2003,1668.07,852.45,2.67,1.0,34.18
Санкт-Петербург,donor,2004,1725.97,807.42,2.68,1.03,29.59
Санкт-Петербург,donor,2005,1822.36,759.61,2.71,1.02,31.86
Санкт-Петербург,donor,2006,1953.48,1036.11,2.67,1.02,38.4
Санкт-Петербург,donor,2007,1936.75,1063.85,2.58,1.02,45.91
Санкт-Петербург,donor,2008,2083.07,872.25,2.74,1.0,39.49
Санкт-Петербург,donor,2009,2169.93,1141.88,2.63,1.01,57.73
Санкт-Петербург,donor,2010,2203.81,967.58,2.79,1.0,52.33
Санкт-Петербург,donor,2011,2300.55,1001.71,2.63,1.01,55.16
Санкт-Петербург,donor,2012,2404.25,1425.05,2.64,1.01,64.39
Санкт-Петербург,donor,2013,2516.33,1166.03,2.62,1.02,53.3
Санкт-Петербург,donor,2014,2556.69,1314.17,2.66,1.02,58.41
Санкт-Петербург,donor,2015,2686.59,1472.67,2.64,1.02,73.49
Санкт-Петербург,donor,2016,2639.25,1482.92,2.59,1.02,68.9
Санкт-Петербург,donor,2017,2798.46,1400.08,2.69,1.02,75.26
Санкт-Петербург,donor,2018,2935.15,1696.52,2.68,1.0,70.04
Санкт-Петербург,donor,2019,2973.06,1210.6,2.6,1.04,62.5
Санкт-Петербург,donor,2020,3088.18,1254.11,2.56,1.0,74.01
Санкт-Петербург,donor,2021,3227.11,1430.14,2.65,1.01,82.15
Санкт-Петербург,donor,2022,3215.46,1633.86,2.61,1.03,88.3
Санкт-Петербург,donor,2023,3296.61,1531.58,2.66,1.01,88.45
Санкт-Петербург,donor,2024,3325.14,1346.92,2.64,1.01,90.68
Санкт-Петербург,donor,2025,3438.64,1547.55,2.62,1.03,90.33
Московская область,donor,2000,1271.66,664.25,2.64,4.71,18.74
Московская область,donor,2001,1371.77,552.66,2.52,4.77,32.33
Московская область,donor,2002,1413.05,699.03,2.51,4.77,20.05
Московская область,donor,2003,1537.95,810.53,2.49,4.77,28.96
Московская область,donor,2004,1566.88,895.16,2.68,4.73,34.04
Московская область,donor,2005,1647.31,667.66,2.53,4.81,32.17
Московская область,donor,2006,1651.37,873.01,2.63,4.88,24.2
Московская область,donor,2007,1786.8,1058.21,2.59,4.76,41.43
Московская область,donor,2008,1901.03,769.26,2.54,4.75,43.59
Московская область,donor,2009,1957.57,1029.27,2.52,4.8,47.67
Московская область,donor,2010,1993.99,868.36,2.6,4.81,45.67
Московская область,donor,2011,2094.27,993.53,2.57,4.75,53.11
Московская область,donor,2012,2238.3,1233.1,2.54,4.84,54.84
Московская область,donor,2013,2277.25,1088.16,2.54,4.77,50.41
Московская область,donor,2014,2411.16,1180.72,2.61,4.73,51.57
Московская область,donor,2015,2453.61,1369.89,2.6,4.75,61.61
Московская область,donor,2016,2370.39,1368.99,2.65,4.74,57.55
Московская область,donor,2017,2570.57,1346.06,2.53,4.76,65.8
Московская область,donor,2018,2654.6,1105.03,2.6,4.71,55.63
Московская область,donor,2019,2662.17,1478.65,2.55,4.68,76.75
Московская область,donor,2020,2759.91,1362.66,2.56,4.79,65.4
Московская область,donor,2021,2882.06,1707.43,2.64,4.71,72.9
Московская область,donor,2022,2908.06,1723.45,2.58,4.79,78.52
Московская область,donor,2023,3009.76,1787.38,2.52,4.89,84.51
Московская область,donor,2024,3053.01,1604.39,2.66,4.82,80.65
Московская область,donor,2025,3293.54,1500.13,2.52,4.77,78.49
Ханты-Мансийский АО,donor,2000,1054.51,487.08,3.29,0.48,12.29
Ханты-Мансийский АО,donor,2001,1126.66,544.91,3.26,0.49,7.97
Ханты-Мансийский АО,donor,2002,1132.84,672.89,3.25,0.48,13.84
Ханты-Мансийский АО,donor,2003,1175.26,534.37,3.11,0.48,12.81
Ханты-Мансийский АО,donor,2004,1287.02,630.78,3.21,0.47,18.72
Ханты-Мансийский АО,donor,2005,1390.43,655.77,3.26,0.48,14.79
Ханты-Мансийский АО,donor,2006,1468.58,740.21,3.17,0.48,28.24
Ханты-Мансийский АО,donor,2007,1517.77,729.59,3.18,0.48,30.37
Ханты-Мансийский АО,donor,2008,1520.16,649.52,3.21,0.47,29.34
Ханты-Мансийский АО,donor,2009,1641.5,770.93,3.16,0.49,27.76
Ханты-Мансийский АО,donor,2010,1730.34,990.57,3.08,0.48,37.52
Ханты-Мансийский АО,donor,2011,1728.81,1030.38,3.06,0.47,33.79
Ханты-Мансийский АО,donor,2012,1754.44,728.39,3.21,0.48,31.6
Ханты-Мансийский АО,donor,2013,1892.14,936.22,3.15,0.48,38.73
Ханты-Мансийский АО,donor,2014,1906.68,830.17,3.12,0.47,34.28
Ханты-Мансийский АО,donor,2015,1992.25,1071.99,3.02,0.48,42.83
Ханты-Мансийский АО,donor,2016,2048.19,1149.53,3.15,0.48,46.18
Ханты-Мансийский АО,donor,2017,2092.48,1039.76,3.09,0.47,50.08
Ханты-Мансийский АО,donor,2018,2250.15,916.57,3.15,0.48,39.91
Ханты-Мансийский АО,donor,2019,2242.6,1135.71,3.23,0.48,42.55
Ханты-Мансийский АО,donor,2020,2230.13,1012.14,3.18,0.48,45.31
Ханты-Мансийский АО,donor,2021,2316.76,1078.45,3.13,0.49,53.56
Ханты-Мансийский АО,donor,2022,2429.46,1014.02,3.26,0.49,54.99
Ханты-Мансийский АО,donor,2023,2470.72,1051.33,3.27,0.48,44.54
Ханты-Мансийский АО,donor,2024,2602.86,1226.52,3.29,0.48,57.86
Ханты-Мансийский АО,donor,2025,2599.44,1119.25,3.15,0.48,54.18
Ямало-Ненецкий АО,donor,2000,884.02,527.29,2.61,0.95,4.74
Ямало-Ненецкий АО,donor,2001,975.05,423.35,2.61,0.95,11.01
Ямало-Ненецкий АО,donor,2002,1084.86,494.69,2.65,0.94,16.28
Ямало-Ненецкий АО,donor,2003,1081.34,542.32,2.48,0.95,13.93
Ямало-Ненецкий АО,donor,2004,1118.76,577.56,2.61,0.95,9.8
Ямало-Ненецкий АО,donor,2005,1194.0,557.98,2.57,0.94,21.55
Ямало-Ненецкий АО,donor,2006,1293.62,671.55,2.61,0.93,17.66
Ямало-Ненецкий АО,donor,2007,1336.7,756.74,2.56,0.95,24.85
Ямало-Ненецкий АО,donor,2008,1390.73,790.44,2.65,0.95,23.47
Ямало-Ненецкий АО,donor,2009,1419.14,614.28,2.55,0.95,29.6
Ямало-Ненецкий АО,donor,2010,1423.2,818.97,2.59,0.96,25.23
Ямало-Ненецкий АО,donor,2011,1481.82,729.85,2.52,0.96,23.74
Ямало-Ненецкий АО,donor,2012,1550.04,898.89,2.57,0.96,20.73
Ямало-Ненецкий АО,donor,2013,1664.27,704.62,2.61,0.95,34.26
Ямало-Ненецкий АО,donor,2014,1682.34,940.1,2.55,0.96,47.23
